bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgame/341496/caesars-empire,L'Impero di Cesare,,,Semplice,,
https://boardgamegeek.com/boardgame/218854/invisible-ink,L'inchiostro invisibile,3-6,20-30,Semplice,,B
https://boardgamegeek.com/boardgame/193558/oracle-delphi,L'oracolo di Delphi,2-4,70-100,Elevata,,
https://boardgamegeek.com/boardgame/338985/la-24-ore-di-paperopoli,La 24 ore di Paperopoli,,,Semplice,,
https://boardgamegeek.com/boardgame/136280/la-boca,La Boca,3-6,30-45,Semplice,,
https://boardgamegeek.com/boardgame/194880/dream-home,La casa dei sogni,2-4,20-40,Semplice,,
https://boardgamegeek.com/boardgame/232291/dream-home-156-sunny-street,La casa dei sogni via dei Girasoli,,,Semplice,,
https://boardgamegeek.com/boardgame/421187/la-casa-delle-mannaie,La casa delle mannaie,,,Semplice,,
https://boardgamegeek.com/boardgame/249414/backyard-builders-treehouse,La casa sull'albero,2-4,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/91671/da-ist-der-wurm-drin,La corsa dei lombrichi,2-4,30,Semplice,Y,
